idcode,cost,yes,time
1003,800,1,1
1009,700,1,1
1011,300,1,1
1017,900,0,1
1022,800,0,1
1024,500,0,1
1025,600,1,1
1027,100,1,1
1028,1000,0,1
1031,200,0,1
1032,300,1,1
1037,300,0,1
1044,300,0,1
1055,900,1,1
1058,300,0,1
1059,400,1,1
1062,900,0,1
1063,900,0,1
1066,600,0,1
1068,900,0,1
1069,800,1,1
1084,900,1,1
1086,200,1,1
1087,100,1,1
1089,800,0,1
1090,300,0,1
1094,900,1,1
1097,300,0,1
1098,700,0,1
1104,100,1,1
1109,600,0,1
1110,1000,1,1
1111,700,0,1
1112,800,1,1
1113,700,1,1
1115,700,1,1
1119,200,1,1
1120,800,1,1
1127,700,0,1
1128,1000,1,1
1133,900,0,1
1134,600,0,1
1135,500,0,1
1142,200,0,1
1149,500,0,1
1150,700,1,1
1154,200,1,1
1155,400,0,1
1156,500,1,1
1158,500,1,1
1161,900,1,1
1163,400,1,1
1164,600,0,1
1166,500,1,1
1167,900,1,1
1168,700,0,1
1171,200,0,1
1183,800,0,1
1184,600,0,1
1185,700,1,1
1187,600,1,1
1188,400,0,1
1189,200,1,1
1196,1000,0,1
1204,700,0,1
1211,1000,1,1
1212,800,0,1
1214,300,1,1
1225,200,1,1
1229,600,1,1
1235,700,1,1
1236,200,1,1
1237,800,1,1
1239,800,1,1
1240,700,1,1
1242,200,1,1
1245,600,0,1
1247,800,0,1
1260,200,1,1
1269,800,1,1
1270,200,1,1
1271,800,0,1
1273,400,1,1
1282,600,1,1
1285,500,1,1
1293,200,0,1
1297,300,1,1
1301,800,0,1
1303,300,1,1
1309,300,1,1
1312,500,1,1
1314,700,0,1
1315,100,1,1
1325,200,0,1
1331,200,1,1
1333,900,0,1
1334,900,1,1
1338,100,1,1
1340,100,1,1
1342,900,0,1
1343,500,1,1
1345,800,0,1
1352,200,1,1
1354,600,1,1
1355,900,0,1
1356,200,0,1
1377,900,0,1
1378,200,1,1
1382,200,1,1
1387,700,0,1
1391,800,0,1
1392,100,1,1
1399,500,1,1
1406,200,0,1
1413,900,0,1
1417,100,1,1
1418,900,0,1
1422,900,1,1
1424,1000,0,1
1431,100,1,1
1433,400,0,1
1437,900,0,1
1448,600,1,1
1449,100,1,1
1451,100,1,1
1453,600,0,1
1454,700,0,1
1465,100,1,1
1468,800,1,1
1470,200,1,1
1471,400,1,1
1479,400,1,1
1480,700,0,1
1484,200,1,1
1489,1000,0,1
1493,500,1,1
1499,400,1,1
1502,400,1,1
1503,200,1,1
1504,900,0,1
1507,200,1,1
1512,700,1,1
1515,1000,0,1
1517,900,0,1
1518,900,1,1
1522,100,1,1
1523,400,0,1
1527,1000,1,1
1531,500,1,1
1533,600,1,1
1534,700,1,1
1535,200,1,1
1536,1000,1,1
1537,200,1,1
1538,400,1,1
1539,400,1,1
1541,500,1,1
1543,600,1,1
1544,1000,1,1
1546,800,1,1
1547,700,1,1
1550,200,1,1
1552,200,1,1
1553,600,1,1
1557,900,0,1
1559,100,1,1
1562,800,1,1
1563,400,0,1
1568,600,1,1
1570,600,1,1
2020,200,0,1
2026,800,1,1
2027,900,1,1
2028,1000,1,1
2031,300,0,1
2036,100,1,1
2052,500,1,1
2059,400,1,1
2061,1000,1,1
2070,400,0,1
2072,200,1,1
2078,1000,1,1
2080,200,1,1
2084,200,1,1
2091,900,0,1
2098,600,0,1
2100,900,1,1
2102,800,0,1
2110,900,0,1
2113,100,1,1
2114,100,1,1
2121,300,0,1
2128,600,0,1
2139,900,1,1
2143,200,1,1
2145,500,0,1
2146,600,0,1
2154,100,1,1
2160,800,0,1
2166,800,1,1
2168,200,1,1
2169,700,0,1
2172,1000,1,1
2176,600,0,1
2177,600,1,1
2182,400,1,1
2191,500,1,1
2196,700,1,1
2197,1000,0,1
2198,200,1,1
2203,600,1,1
2204,600,0,1
2212,200,1,1
2214,400,1,1
2218,300,1,1
2220,700,1,1
2225,200,1,1
2232,400,1,1
2235,300,0,1
2236,1000,0,1
2237,1000,1,1
2238,100,1,1
2248,300,1,1
2249,100,1,1
2253,600,0,1
2258,800,1,1
2259,100,1,1
2267,1000,1,1
2268,500,1,1
2269,1000,0,1
2270,1000,1,1
2272,1000,0,1
2276,800,0,1
2277,500,0,1
2278,600,0,1
2286,300,1,1
2288,1000,0,1
2289,500,1,1
2291,600,0,1
2294,100,1,1
2300,1000,1,1
2305,500,0,1
2306,800,1,1
2308,100,1,1
2313,100,1,1
2314,300,0,1
2331,800,0,1
2332,900,0,1
2345,800,0,1
2346,200,1,1
2355,1000,0,1
2357,1000,1,1
2358,600,0,1
2362,100,1,1
2368,1000,1,1
2380,400,0,1
2383,1000,1,1
2393,800,0,1
2399,900,0,1
2403,700,1,1
2404,100,1,1
2418,700,1,1
2422,400,1,1
2423,500,1,1
2426,200,1,1
2427,500,1,1
2430,700,0,1
2438,300,1,1
2442,700,1,1
2460,1000,0,1
2461,700,0,1
2464,1000,0,1
2465,100,1,1
